ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
1125880_7,Fire,no,-15.850040524656,132.217783914587,53LKC,other,2,99,0,0,6,0,1,0,0,0,NA,0.14285714285714285,1.0,NA,1.0,0.14285714285714285,0.9905660377358491,0.9433962264150944
1125880_8,noChange,no,-15.9266129278072,132.209730813324,53LKC,other,4,126,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1125880_9,Fire,no,-15.8495992670623,132.22562731085,53LKC,other,2,0,0,0,1,0,110,0,0,0,NA,0.990990990990991,1.0,NA,1.0,0.990990990990991,0.009009009009009009,0.990990990990991
1125880_10,Fire,no,-15.8493104396342,132.224231732635,53LKC,other,2,0,0,0,1,0,110,0,0,0,NA,0.990990990990991,1.0,NA,1.0,0.990990990990991,0.009009009009009009,0.990990990990991
1125880_11,Fire,no,-15.8461026959666,132.227634423012,53LKC,other,2,0,0,0,1,0,110,0,0,0,NA,0.990990990990991,1.0,NA,1.0,0.990990990990991,0.009009009009009009,0.990990990990991
1125880_12,Fire,no,-15.8637450367938,132.294297187753,53LKC,other,3,28,0,0,0,60,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
1125880_13,Fire,no,-15.8433179805264,132.26433954418,53LKC,other,3,110,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1125880_14,Fire,no,-15.8449114934214,132.219253721867,53LKC,other,2,0,0,0,1,0,110,0,0,0,NA,0.990990990990991,1.0,NA,1.0,0.990990990990991,0.009009009009009009,0.990990990990991
1125880_15,Fire,no,-15.8468903025887,132.22566434688,53LKC,other,2,0,0,0,1,0,110,0,0,0,NA,0.990990990990991,1.0,NA,1.0,0.990990990990991,0.009009009009009009,0.990990990990991
1125880_16,Fire,no,-15.8451752024989,132.21869031192,53LKC,other,3,0,0,0,10,81,0,0,0,0,1.0,0.8901098901098901,NA,NA,1.0,0.8901098901098901,1.0,0.8901098901098901
