ID,Block,subID,blockStratum,substratum,zone,x,y,centx,centy,long,lat,MGRS
97785_12,97785,12,waternew,1,33,360498.422,1543947.905,360495,1543935,13.70848438,13.96228826,33PUR
97785_13,97785,13,waternew,2,33,360949.7554,1551543.046,360945,1551555,13.71226618,14.03119289,33PUR
97785_14,97785,14,waternew,2,33,357081.0046,1549885.397,357075,1549875,13.67652141,14.01581313,33PUR
97785_15,97785,15,waternew,3,33,356551.9197,1547596.895,356565,1547595,13.67191817,13.99517712,33PUR
97785_16,97785,16,waternew,4,33,361757.2967,1551654.008,361755,1551645,13.71976143,14.03204625,33PUR
97785_17,97785,17,waternew,1,33,361809.7175,1551630.504,361815,1551645,13.72031697,14.03204919,33PUR
97785_18,97785,18,waternew,2,33,354273.4873,1551338.556,354285,1551345,13.6506135,14.02895864,33PUR
97785_19,97785,19,waternew,1,33,360843.1161,1547951.292,360855,1547955,13.71161443,13.99864559,33PUR
97785_20,97785,20,waternew,1,33,355322.8249,1550438.759,355335,1550445,13.66038231,14.0208771,33PUR
103279_1,103279,1,builtnewalert,3,44,260464.39,1614160.321,260475,1614165,78.77668509,14.59013495,44PKB
103279_2,103279,2,builtnewalert,2,44,261249.2805,1616348.609,261255,1616355,78.78372312,14.60998983,44PKB
103279_3,103279,3,builtnewalert,2,44,262213.3178,1613103.076,262215,1613115,78.79292205,14.58080159,44PKB
103279_4,103279,4,builtnewalert,2,44,260742.4465,1616828.324,260745,1616835,78.77894774,14.61428146,44PKB
103279_5,103279,5,builtnewalert,2,44,262680.5503,1613894.275,262695,1613895,78.7973049,14.58789079,44PKB
103279_6,103279,6,builtnewalert,1,44,260774.816,1621207.763,260775,1621215,78.77882786,14.65385603,44PKB
103279_7,103279,7,builtnewalert,2,44,263047.3119,1622641.62,263055,1622655,78.79985623,14.66706729,44PKB
103279_8,103279,8,builtnewalert,1,44,261330.3181,1620572.46,261345,1620585,78.78417462,14.64821464,44PKB
103279_9,103279,9,builtnewalert,1,44,264535.9394,1618904.109,264525,1618905,78.81383477,14.63331527,44PKB
103279_10,103279,10,builtnewalert,3,44,262507.8844,1615239.783,262515,1615245,78.79551352,14.60007203,44PKB
103279_11,103279,11,builtnewalert,2,44,262631.8396,1618097.472,262635,1618095,78.79637015,14.62583175,44PKB
103279_12,103279,12,builtnewalert,4,44,263337.9723,1621029.628,263325,1621035,78.80250799,14.65245462,44PKB
103279_13,103279,13,builtnewalert,1,44,260557.4428,1622865.813,260565,1622865,78.77672862,14.66874457,44PKB
103279_14,103279,14,builtnewalert,1,44,264526.4562,1618896.045,264525,1618905,78.81383477,14.63331527,44PKB
103279_15,103279,15,builtnewalert,3,44,265251.7695,1615990.674,265245,1615995,78.8207752,14.60708622,44PKB
103279_16,103279,16,builtnewalert,4,44,269719.7919,1619091.286,269715,1619085,78.86197912,14.63538886,44PKB
103279_17,103279,17,builtnewalert,3,44,262225.0987,1620472.159,262215,1620465,78.79225883,14.64720724,44PKB
103279_18,103279,18,builtnewalert,3,44,268265.1174,1613680.171,268275,1613685,78.84909126,14.58647608,44PKB
103279_19,103279,19,builtnewalert,1,44,262068.5133,1613128.161,262065,1613115,78.79153052,14.58078844,44PKB
103279_20,103279,20,builtnewalert,3,44,261313.1812,1622313.64,261315,1622325,78.78373812,14.66393235,44PKB
114851_1,114851,1,gen,2,34,355821.5664,1781187.511,355815,1781175,19.65176065,16.10639551,34PCC
114851_2,114851,2,gen,2,34,357106.8478,1781502.399,357105,1781505,19.66380079,16.10945378,34PCC
114851_3,114851,3,gen,2,34,355516.575,1781423.894,355515,1781415,19.64894131,16.10854686,34PCC
114851_4,114851,4,gen,2,34,356416.9741,1781440.573,356415,1781445,19.65735358,16.10887105,34PCC
114851_5,114851,5,gen,2,34,363176.8821,1775475.423,363165,1775475,19.72080566,16.05530115,34PCC
114851_6,114851,6,gen,4,34,362570.1701,1773171.111,362565,1773165,19.71533143,16.0343896,34PCC
